;object_name;chain;object_type;address;number;street;coord;district
151;кафе «андерсон»;да;кафе;город москва, варшавское шоссе, дом 2;150;варшавское шоссе;37.619683 55.699943;Донской район
152;кафе «subway»;да;кафе;город москва, варшавское шоссе, дом 7, корпус 1;36;варшавское шоссе;37.622405 55.700877;Донской район
153;кафе «ламаджо»;нет;кафе;город москва, варшавское шоссе, дом 29;30;варшавское шоссе;37.622432 55.693226;Донской район
154;шаурма в пите;нет;предприятие быстрого обслуживания;город москва, варшавское шоссе, дом 72, корпус 2;0;варшавское шоссе;37.618758 55.656869;Нагорный район
155;выпечка;нет;кафетерий;город москва, варшавское шоссе, дом 100;2;варшавское шоссе;37.618812 55.646228;Нагорный район
156;ресторан «макдоналдс»;да;кафе;город москва, варшавское шоссе, дом 143а;70;варшавское шоссе;37.599148 55.583953;район Чертаново Южное
165;пироговая рогова;нет;кафе;город москва, проспект вернадского, дом 9/10;42;проспект вернадского;37.532511 55.690755;Гагаринский район
166;кафе контдитерская кузина;нет;кафе;город москва, проспект вернадского, дом 11/19;5;проспект вернадского;37.528882 55.688741;Ломоносовский район
167;суши wok;да;кафе;город москва, проспект вернадского, дом 11/19;8;проспект вернадского;37.528882 55.688741;Ломоносовский район
168;аморе;нет;кафе;город москва, проспект вернадского, дом 11/19;10;проспект вернадского;37.528882 55.688741;Ломоносовский район
169;шоколад;да;кафе;город москва, проспект вернадского, дом 11/19;50;проспект вернадского;37.528882 55.688741;Ломоносовский район
170;тирольские пироги;да;магазин (отдел кулинарии);город москва, проспект вернадского, дом 13;10;проспект вернадского;37.527669 55.687655;Ломоносовский район
172;столовая «оп мгу кп мгу столовая 12»;нет;столовая;город москва, проспект вернадского, дом 37;240;проспект вернадского;37.511751 55.678397;район Проспект Вернадского
173;буфет;нет;буфет;город москва, проспект вернадского, дом 86, строение 1;40;проспект вернадского;37.474534 55.66049;район Тропарёво-Никулино
174;панорама 93;нет;ресторан;город москва, проспект вернадского, дом 93;60;проспект вернадского;37.495132 55.667127;район Тропарёво-Никулино
175;кафе «пекарня «мюнгер»»;нет;кафе;город москва, проспект вернадского, дом 97, корпус 1;30;проспект вернадского;37.491377 55.667152;район Тропарёво-Никулино
176;гудбар;нет;кафе;город москва, проспект вернадского, дом 97, корпус 1;40;проспект вернадского;37.491377 55.667152;район Тропарёво-Никулино
177;бар «фитнес-бар»;нет;бар;город москва, проспект вернадского, дом 103, корпус 1;24;проспект вернадского;37.492662 55.663365;район Тропарёво-Никулино
178;кафе «театр на юго-западе»;нет;кафе;город москва, проспект вернадского, дом 125;20;проспект вернадского;37.482026 55.655478;район Тропарёво-Никулино
295;шёлковый путь;нет;ресторан;город москва, кутузовский проспект, дом 71;90;кутузовский проспект;37.452103 55.723719;район Фили-Давыдково
405;чайхона 7-24;нет;кафе;город москва, каширское шоссе, дом 5, корпус 1;40;каширское шоссе;37.629071 55.671168;район Нагатино-Садовники
406;фгуп гнпп регион;нет;столовая;город москва, каширское шоссе, дом 13, корпус 1;200;каширское шоссе;37.629879 55.666569;район Нагатино-Садовники
407;ресторан «тануки»;да;ресторан;город москва, каширское шоссе, дом 46, корпус 1;50;каширское шоссе;37.664788 55.647894;район Москворечье-Сабурово
408;столовая «гостиница мзп»;нет;столовая;город москва, каширское шоссе, дом 56, корпус 2;24;каширское шоссе;37.669998 55.644775;район Москворечье-Сабурово
409;столовая «центра социальной защиты»;нет;столовая;город москва, каширское шоссе, дом 60, корпус 2;40;каширское шоссе;37.671579 55.64415;район Москворечье-Сабурово
429;гостиница эмос;нет;столовая;город москва, кировоградская улица, дом 11;20;кировоградская улица;37.607915 55.615904;район Чертаново Центральное
430;московский технический лицей;нет;столовая;город москва, кировоградская улица, дом 11;240;кировоградская улица;37.607915 55.615904;район Чертаново Центральное
431;столовая рггу;нет;столовая;город москва, кировоградская улица, дом 25, корпус 1;250;кировоградская улица;37.597953 55.597607;район Чертаново Южное
525;кристиан;нет;ресторан;город москва, кутузовский проспект, дом 2/1, корпус 1а;96;кутузовский проспект;37.564904 55.750712;район Дорогомилово
526;диорама бар;нет;бар;город москва, кутузовский проспект, дом 2/1, корпус 1а;3;кутузовский проспект;37.564904 55.750712;район Дорогомилово
527;клубный ресторан;нет;ресторан;город москва, кутузовский проспект, дом 2/1, корпус 1а;12;кутузовский проспект;37.564904 55.750712;район Дорогомилово
528;pinocchio;нет;ресторан;город москва, кутузовский проспект, дом 4/2;100;кутузовский проспект;37.562272 55.750727;район Дорогомилово
529;кафе-бутик posh up, babe;нет;кафе;город москва, кутузовский проспект, дом 8;12;кутузовский проспект;37.560538 55.749172;район Дорогомилово
530;кофемания;да;кафе;город москва, кутузовский проспект, дом 17;60;кутузовский проспект;37.556864 55.746922;район Дорогомилово
531;пион;нет;кафе;город москва, кутузовский проспект, дом 21;40;кутузовский проспект;37.549866 55.744977;район Дорогомилово
532;кофе хаус. экспрессо и капучино бар;да;кафе;город москва, кутузовский проспект, дом 30;50;кутузовский проспект;37.535826 55.741475;район Дорогомилово
533;чистякова м.м.;нет;буфет;город москва, кутузовский проспект, дом 30;15;кутузовский проспект;37.535826 55.741475;район Дорогомилово
534;кактус;да;ресторан;город москва, кутузовский проспект, дом 41;32;кутузовский проспект;37.531029 55.738688;район Дорогомилово
541;фортутти;нет;кафе;город москва, ленинградский проспект, дом 2;23;ленинградский проспект;37.582709 55.778644;район Беговой
542;папа джонс;да;кафе;город москва, ленинградский проспект, дом 10;56;ленинградский проспект;37.579933 55.779707;район Беговой
543;столовая мосгоргеотрест;нет;столовая;город москва, ленинградский проспект, дом 11;80;ленинградский проспект;37.573923 55.780416;район Беговой
544;шоколадница;да;кафе;город москва, ленинградский проспект, дом 12;65;ленинградский проспект;37.578855 55.780157;район Беговой
545;ваби-саби;да;кафе;город москва, ленинградский проспект, дом 12;48;ленинградский проспект;37.578855 55.780157;район Беговой
546;хлеб&co;да;кафе;город москва, ленинградский проспект, дом 24;16;ленинградский проспект;37.573699 55.782547;район Беговой
547;москафе;нет;ресторан;город москва, ленинградский проспект, дом 24;70;ленинградский проспект;37.573699 55.782547;район Беговой
548;кафе хинкальная;нет;кафе;город москва, ленинградский проспект, дом 33, корпус 3;28;ленинградский проспект;37.56079 55.787001;район Беговой
549;al33 пиццерия бар ботега;нет;кафе;город москва, ленинградский проспект, дом 33, корпус 4;45;ленинградский проспект;37.559829 55.78732;район Беговой
550;буфет-бар бутербург;нет;буфет;город москва, ленинградский проспект, дом 35;20;ленинградский проспект;37.553271 55.790352;район Беговой
551;sea-тория;нет;ресторан;город москва, ленинградский проспект, дом 48;150;ленинградский проспект;37.543479 55.796152;район Аэропорт
552;тратория italian «паста&пицца»;нет;ресторан;город москва, ленинградский проспект, дом 48;40;ленинградский проспект;37.543479 55.796152;район Аэропорт
553;золотая бухара;нет;ресторан;город москва, ленинградский проспект, дом 48;150;ленинградский проспект;37.543479 55.796152;район Аэропорт
554;кофе-бин;да;кафе;город москва, ленинградский проспект, дом 56;41;ленинградский проспект;37.537955 55.79851;район Аэропорт
555;crema espresso bar;нет;кафе;город москва, ленинградский проспект, дом 60, корпус 1;2;ленинградский проспект;37.535341 55.799684;район Аэропорт
556;штолле;да;кафе;город москва, ленинградский проспект, дом 62;37;ленинградский проспект;37.533382 55.801035;район Аэропорт
557;кофе хаус;да;кафе;город москва, ленинградский проспект, дом 62;48;ленинградский проспект;37.533382 55.801035;район Аэропорт
