;object_name;chain;object_type;address;number;street;coords;district
19;американская лаборатория десертов;нет;кафе;город москва, филипповский переулок, дом 15/5;20;филипповский переулок;37.598573 55.75058;район Арбат
61;столовая;нет;столовая;город москва, бабаевская улица, дом 3;90;бабаевская улица;37.689069 55.790595;район Сокольники
69;хуанхэ;нет;ресторан;город москва, 1-й балтийский переулок, дом 3/25;60;1-й балтийский переулок;37.518785 55.810471;район Аэропорт
81;азербайджан;нет;ресторан;город москва, улица демьяна бедного, дом 4;180;улица демьяна бедного;37.48693 55.770401;район Хорошёво-Мнёвники
131;вгик;нет;столовая;город москва, будайская улица, дом 3;45;будайская улица;37.665156 55.831903;район Ростокино
150;советские времена;да;кафе;город москва, варсонофьевский переулок, дом 6;82;варсонофьевский переулок;37.62572 55.763194;Мещанский район
179;угол;нет;кафе;город москва, верхняя улица, дом 3, корпус 2;71;верхняя улица;37.574911 55.776856;район Беговой
181;бар в фитнес клубе;нет;бар;город москва, глазовский переулок, дом 5;4;глазовский переулок;37.587084 55.743933;район Хамовники
228;ооо «театро»;нет;кафе;город москва, воротниковский переулок, дом 11, строение 1;35;воротниковский переулок;37.601286 55.770416;Тверской район
235;сущевский дворик;нет;кафе;город москва, 2-й вышеславцев переулок, дом 17;48;2-й вышеславцев переулок;37.605984 55.790499;район Марьина Роща
241;столовая гбпоу зкно;нет;буфет;город москва, гвардейская улица, дом 15, корпус 1;50;гвардейская улица;37.423204 55.724789;Можайский район
251;при школе 1294;нет;столовая;город москва, глебовская улица, дом 10;240;глебовская улица;37.715525 55.813202;район Богородское
308;столовая школы 1254;нет;столовая;город москва, улица девятая рота, дом 14;160;улица девятая рота;37.712596 55.791142;район Преображенское
350;ньокки;да;ресторан;город москва, улица генерала ермолова, дом 4;60;улица генерала ермолова;37.518057 55.73479;район Дорогомилово
352;хижина;да;ресторан;город москва, улица жебрунова, дом 4;120;улица жебрунова;37.678424 55.784997;район Сокольники
354;столовая спецшкола 9;нет;столовая;город москва, улица бориса жигулёнкова, дом 15;80;улица бориса жигулёнкова;37.732979 55.773586;район Соколиная Гора
359;тратория;нет;кафе;город москва, улица жуковского, дом 5;50;улица жуковского;37.64542 55.763776;Басманный район
437;пивной бар элефант;нет;бар;город москва, 2-й колобовский переулок, дом 12;55;2-й колобовский переулок;37.616467 55.769276;Тверской район
463;столовая при гбоу школа 171;нет;столовая;город москва, кооперативная улица, дом 2, корпус 13;24;кооперативная улица;37.566117 55.72487;район Хамовники
520;прованс;нет;ресторан;город москва, 1-й обыденский переулок, дом 9/12;40;1-й обыденский переулок;37.602256 55.743005;район Хамовники
522;фидан;нет;ресторан;город москва, кунцевская улица, дом 10;81;кунцевская улица;37.412981 55.731288;район Кунцево
538;кп мэи;нет;столовая;город москва, улица лапина, дом 3;240;улица лапина;37.712704 55.756391;район Лефортово
540;волконский;да;магазин (отдел кулинарии);город москва, малый лёвшинский переулок, дом 14/9, строение 1;16;малый лёвшинский переулок;37.589536 55.742514;район Хамовники
627;гивисациви;нет;кафе;город москва, лужнецкий проезд, дом 1;95;лужнецкий проезд;37.560395 55.725392;район Хамовники
642;столовая при гбоу школа 57;нет;столовая;город москва, малый знаменский переулок, дом 7/10, строение 2;36;малый знаменский переулок;37.604978 55.748285;район Хамовники
711;буфет техникума мпэ;нет;буфет;город москва, мирской переулок, дом 5;30;мирской переулок;37.565919 55.796982;Савёловский район
713;ресторан «граф орлов»;нет;ресторан;город москва, 2-й верхний михайловский проезд, дом 2;90;2-й верхний михайловский проезд;37.605113 55.709551;Донской район
737;журфак;нет;кафе;город москва, большой афанасьевский переулок, дом 3, строение 3;49;большой афанасьевский переулок;37.59692 55.745149;район Хамовники
742;хинкаль палас;нет;кафе;город москва, нагорный бульвар, дом 5, корпус 1;40;нагорный бульвар;37.59383 55.673844;район Котловка
756;антикварный boutique & bar;нет;бар;город москва, звонарский переулок, дом 5;30;звонарский переулок;37.621947 55.764663;Мещанский район
757;union jack;нет;бар;город москва, нижний кисельный переулок, дом 3, строение 1;30;нижний кисельный переулок;37.621785 55.765519;Мещанский район
779;кафе дада;нет;кафе;город москва, 1-й новокузнецкий переулок, дом 5-7;30;1-й новокузнецкий переулок;37.632305 55.734679;район Замоскворечье
783;гбоу школа № 1352;нет;столовая;город москва, новосибирская улица, дом 8;110;новосибирская улица;37.821167 55.815752;район Гольяново
895;пицца-фабрика;нет;кафе;город москва, улица пивченкова, дом 7;12;улица пивченкова;37.475576 55.73552;район Фили-Давыдково
899;сказочный двор;нет;кафе;город москва, платовская улица, дом 4;45;платовская улица;37.555193 55.744799;район Дорогомилово
908;кафе;нет;кафетерий;город москва, 3-й проезд подбельского, дом 22, корпус 3;16;3-й проезд подбельского;37.723187 55.81913;район Богородское
910;cezve coffee;нет;кафе;город москва, подсосенский переулок, дом 8, строение 2;20;подсосенский переулок;37.649966 55.758301;Басманный район
990;трапезная;нет;столовая;город москва, улица рогожский посёлок, дом 3;10;улица рогожский посёлок;37.70072 55.737897;Нижегородский район
1062;гранатовый сад;нет;ресторан;город москва, 1-й сетуньский проезд, дом 10;80;1-й сетуньский проезд;37.539078 55.73223;район Раменки
1113;вуден бор;нет;кафе;город москва, 2-й стрелецкий проезд, дом 7;40;2-й стрелецкий проезд;37.605777 55.797326;район Марьина Роща
1147;школа апогей;нет;буфет;город москва, таганрогская улица, дом 7;150;таганрогская улица;37.755239 55.680488;район Люблино
1163;буфет при гуп «объединенный комбинат школьного питания»;нет;столовая;город москва, тенистый проезд, дом 8;98;тенистый проезд;37.640246 55.861105;район Свиблово
1219;амбарчик;нет;кафе;город москва, малый николопесковский переулок, дом 9/1, строение 2;20;малый николопесковский переулок;37.59118 55.751001;район Арбат
1273;буфет школы 694;нет;буфет;город москва, 2-й хуторской переулок, дом 4/13;75;2-й хуторской переулок;37.577157 55.806125;Савёловский район
1404;кафе «one teaspoon»;нет;кафе;город москва, яузский бульвар, дом 14/8;16;яузский бульвар;37.643615 55.75095;Таганский район
1426;будайский дворик;нет;ресторан;город москва, будайский проезд, дом 8;98;будайский проезд;37.668767 55.836064;район Ростокино
1432;буфет при общежитии;нет;буфет;город москва, международная улица, дом 15;8;международная улица;37.684811 55.745635;Таганский район
1456;матрешка;нет;кафе;город москва, новолучанская улица, дом 22, строение 1;17;новолучанская улица;37.35954 55.790403;район Кунцево
1466;алиби;нет;ресторан;город москва, ащеулов переулок, дом 9;85;ащеулов переулок;37.634613 55.767701;Красносельский район
1537;чашка;нет;бар;город москва, улица академика семёнова, дом 3;40;улица академика семёнова;37.511544 55.543516;район Южное Бутово
1574;улисс паб;нет;бар;город москва, кривоарбатский переулок, дом 16/22;100;кривоарбатский переулок;37.588431 55.747718;район Арбат
1633;кафе-пиццерия;нет;кафе;город москва, 1-й зачатьевский переулок, дом 4;50;1-й зачатьевский переулок;37.604169 55.739716;район Хамовники
1646;tokyo bay;да;кафе;город москва, старомонетный переулок, дом 18;50;старомонетный переулок;37.618507 55.739727;район Якиманка
1654;супкультура;нет;кафе;город москва, 2-й щемиловский переулок, дом 4;30;2-й щемиловский переулок;37.608365 55.776826;Тверской район
1667;борго;нет;кафе;город москва, 2-й полевой переулок, дом 2;45;2-й полевой переулок;37.68111 55.792179;район Сокольники
1687;кафе торшер;нет;кафе;город москва, улица васильцовский стан, дом 5, корпус 1;48;улица васильцовский стан;37.750712 55.713826;Рязанский район
1756;else kafe;нет;кафе;город москва, иваньковское шоссе, дом 5;30;иваньковское шоссе;37.465892 55.819949;район Покровское-Стрешнево
1781;густаторе;нет;кафе;город москва, петровско-разумовская аллея, дом 10, корпус 3;24;петровско-разумовская аллея;37.560574 55.793693;район Аэропорт
1847;кафе angelov;нет;кафе;город москва, 2-й неопалимовский переулок, дом 3;35;2-й неопалимовский переулок;37.582484 55.739336;район Хамовники
1860;кафе «наш бараш»;нет;ресторан;город москва, поселение десеновское, армейская улица, дом 1;60;армейская улица;37.361606 55.509849;
1863;у мангала;нет;кафе;город москва, город щербинка, спортивная улица, дом 23;45;спортивная улица;37.56777 55.500091;
1866;подмосковные вечера;нет;ресторан;город москва, город щербинка, 2-я барышевская улица, дом 1;72;2-я барышевская улица;37.54409 55.497434;
1909;столовая;нет;столовая;город москва, конаковский проезд, дом 5;240;конаковский проезд;37.481145 55.845895;Головинский район
1915;школа 1381;нет;столовая;город москва, янтарный проезд, дом 2;300;янтарный проезд;37.691647 55.872794;Лосиноостровский район
1918;столовая;нет;столовая;город москва, авиационный переулок, дом 5;62;авиационный переулок;37.53879 55.800215;район Аэропорт
1934;столовая колорит кадетского корпуса № 1783;нет;столовая;город москва, 3-я новоостанкинская улица, дом 6;80;3-я новоостанкинская улица;37.626654 55.817537;Останкинский район
1955;бюргер;нет;бар;город москва, докучаев переулок, дом 6, строение 2;60;докучаев переулок;37.64401 55.773434;Красносельский район
1964;столовая;нет;столовая;город москва, фармацевтический проезд, дом 1;55;фармацевтический проезд;37.513997 55.832955;район Коптево
1969;столовая «гкб им. с.п. боткина»;нет;столовая;город москва, большой предтеченский переулок, дом 15/8, строение 1;70;большой предтеченский переулок;37.566979 55.759805;Пресненский район
1976;школа №110;нет;столовая;город москва, столовый переулок, дом 10/2, строение 1;40;столовый переулок;37.594755 55.756756;Пресненский район
2022;yoko;нет;ресторан;город москва, соймоновский проезд, дом 5;50;соймоновский проезд;37.604358 55.743233;район Хамовники
2029;ривер;нет;кафе;город москва, малый власьевский переулок, дом 12, строение 2;24;малый власьевский переулок;37.593875 55.74675;район Хамовники
2041;хинкальная;да;кафе;город москва, богоявленский переулок, дом 6, строение 2;20;богоявленский переулок;37.623492 55.755596;Тверской район
2069;казан чай бар;нет;ресторан;город москва, малый татарский переулок, дом 8, строение 1;46;малый татарский переулок;37.632251 55.737968;район Замоскворечье
2070;столовая;нет;столовая;город москва, 2-й новокузнецкий переулок, дом 13/15, строение 1;80;2-й новокузнецкий переулок;37.631775 55.734004;район Замоскворечье
2073;ресторан золберг;нет;ресторан;город москва, 1-й люсиновский переулок, дом 3б;60;1-й люсиновский переулок;37.621741 55.727526;район Замоскворечье
2103;ухтомская усадьба;нет;ресторан;город москва, лениногорская улица, дом 32, строение 1;42;лениногорская улица;37.865265 55.698777;район Косино-Ухтомский
2104;премьер пицца;нет;предприятие быстрого обслуживания;город москва, прокатная улица, дом 7;0;прокатная улица;37.836645 55.760114;район Ивановское
2186;гбоу школа № 1236;нет;столовая;город москва, улица гончарова, дом 15б;60;улица гончарова;37.586823 55.817668;Бутырский район
2197;столовая при колледже № 21;нет;столовая;город москва, вербная улица, дом 4, строение 1;252;вербная улица;37.776745 55.824319;район Метрогородок
2202;столовая 1404;нет;столовая;город москва, большая ширяевская улица, дом 11;80;большая ширяевская улица;37.687722 55.809332;район Сокольники
2208;школьная столовая № 1210;нет;столовая;город москва, улица гамалеи, дом 17, корпус 1;95;улица гамалеи;37.457124 55.800195;район Щукино
2260;антикинотеатр «newtone»;нет;кафе;город москва, хлебный переулок, дом 2/3, строение 3;25;хлебный переулок;37.597648 55.754664;Пресненский район
